,Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,YrSold,SalePrice
1,76,21,1596,4,5,1973,1973,0,2,2,4,3,4,6,462,1,0,0,462,2,526,462,0,988,1,0,1,0,2,1,2,5,0,0,1973,1,1,297,3,3,3,120,101,0,0,0,0,2,0,2009,91000
2,435,21,1890,4,7,1972,1972,0,2,3,4,3,3,5,495,1,0,135,630,3,630,0,0,630,1,0,1,0,1,1,2,3,0,0,0,0,0,0,0,0,3,88,0,0,0,0,0,0,0,2008,81000
3,490,21,1526,4,8,1970,2002,0,2,3,4,3,3,6,515,1,0,115,630,2,630,0,0,630,1,0,1,0,1,1,3,3,0,0,1970,1,1,286,3,3,3,0,0,0,0,0,0,0,0,2009,86000
4,615,21,1491,4,6,1972,1972,0,2,2,4,3,3,2,150,6,480,0,630,4,630,0,0,630,1,0,1,0,1,1,2,3,0,0,0,0,0,0,0,0,3,96,24,0,0,0,0,0,0,2010,75500
5,650,21,1936,4,6,1970,1970,0,2,2,4,3,3,4,131,6,499,0,630,3,630,0,0,630,1,0,1,0,1,1,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,2007,84500
6,1040,21,1477,4,4,1970,1970,0,2,2,4,3,3,6,509,1,0,121,630,2,630,0,0,630,1,0,1,0,1,1,2,3,0,0,1970,1,1,286,3,3,3,0,0,0,0,0,0,0,0,2009,80000
7,1450,21,1533,5,7,1970,1970,0,2,2,4,3,3,6,553,1,0,77,630,4,630,0,0,630,1,0,1,0,1,1,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2006,92000
8,2244,21,1974,4,7,1973,2006,0,2,3,4,3,3,6,501,1,0,25,526,3,526,462,0,988,1,0,1,0,2,1,2,5,0,0,1973,2,1,297,3,3,3,120,101,0,0,0,0,0,0,2008,NA
9,2245,21,1596,4,6,1973,1973,0,2,2,4,3,4,6,437,1,0,25,462,2,526,462,0,988,1,0,1,0,1,1,2,4,1,1,1973,2,1,297,3,3,3,0,101,0,120,0,0,2,0,2008,NA
10,2603,0,1533,4,5,1970,1970,0,2,2,4,3,3,6,503,1,0,27,530,2,530,462,0,992,1,0,1,0,2,1,2,4,0,0,1970,3,1,297,3,3,3,112,97,0,0,0,0,0,0,2007,NA
11,2910,21,1470,4,6,1970,1970,0,2,2,4,3,3,6,522,1,0,108,630,2,630,0,0,630,1,0,1,0,1,1,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2006,NA
